i0	i1	t0	t1	green	orange	blue	barcode	sample	barcode_id	sample_id	drug1	drug2	drugs	runs	discard
6854.0	7283.0	3247.927	3249.26	0.004578	0.0	0.309763	True	False	1	0	NA	NA	NA	0	False
7619.0	8014.0	3250.595	3251.928	0.004273	0.0	0.269784	True	False	1	0	NA	NA	NA	0	False
8191.0	8677.0	3252.261	3253.927	0.007019	0.000305	0.319987	True	False	1	0	NA	NA	NA	0	False
9006.0	9273.0	3255.261	3255.927	0.004273	0.028687	0.053102	True	False	1	0	NA	NA	NA	0	False
9492.0	9698.0	3256.594	3257.261	0.004578	0.039064	0.030366	False	True	0	1	12:Void	13:Nutlin	12:Void_13:Nutlin	0	True
9926.0	10133.0	3258.26	3258.927	0.004883	0.04181	0.017701	False	True	0	1	12:Void	13:Nutlin	12:Void_13:Nutlin	0	True
10362.0	10560.0	3259.593	3260.26	0.004883	0.043947	0.00885	False	True	0	1	12:Void	13:Nutlin	12:Void_13:Nutlin	0	False
10823.0	11030.0	3261.26	3261.926	0.005188	0.044557	0.00763	False	True	0	1	12:Void	13:Nutlin	12:Void_13:Nutlin	0	False
11282.0	11546.0	3262.593	3263.593	0.005493	0.045473	0.00763	False	True	0	1	12:Void	13:Nutlin	12:Void_13:Nutlin	0	False
11823.0	12148.0	3264.593	3265.593	0.005493	0.045167	0.006409	False	True	0	1	12:Void	13:Nutlin	12:Void_13:Nutlin	0	False
12618.0	13012.0	3267.259	3268.592	0.005493	0.044557	0.004883	False	True	0	1	12:Void	13:Nutlin	12:Void_13:Nutlin	0	False
13276.0	13536.0	3269.261	3270.26	0.004883	0.043947	0.003967	False	True	0	1	12:Void	13:Nutlin	12:Void_13:Nutlin	0	False
13783.0	13978.0	3270.927	3271.593	0.005188	0.043641	0.004273	False	True	0	1	12:Void	13:Nutlin	12:Void_13:Nutlin	0	False
14333.0	14755.0	3272.926	3274.259	0.005799	0.043641	0.004273	False	True	0	1	12:Void	13:Nutlin	12:Void_13:Nutlin	0	False
15056.0	15303.0	3275.269	3276.259	0.006104	0.043031	0.004273	False	True	0	1	12:Void	13:Nutlin	12:Void_13:Nutlin	0	False
